time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,main_category,category_of_expenditure,early_years_establishments,primary_schools,secondary_schools,sen_and_special_schools,pupil_referral_units_and_alt_provision,post_16,gross_expenditure,income,net_expenditure,net_per_capita_expenditure,EES_order
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.2.11 Direct payments (SEN and disability),0,0,0,0,0,0,0,0,0,0,22
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.2.13 Therapies and other health related services,0,0,10404,0,0,0,10404,0,10404,14,24
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Schools,1.4.11 SEN transport,0,0,0,0,0,0,0,0,0,0,36
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,98158,0,98158,329,67
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,62523,0,62523,209,68
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,25707,0,25707,86,69
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,34242,0,0,0,x,34242,0,34242,115,70
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,0,0,0,0,0,0,0,0,72
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,City of London,201,E09000001,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,0,0,0,0,0,0,0,73
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.0.2 High needs place funding within Individual Schools Budget,0,475923,158387,7377525,800000,x,8811836,,8811836,447,2
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.2.1 Top-up funding – maintained schools,0,10304834,5688168,9543444,2980374,x,28516820,46420,28470400,656,12
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",0,265788,631064,0,0,2551030,3447882,0,3447882,79,13
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,35044,237869,66747,5594466,0,850929,6785055,511341,6273714,144,14
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,0,0,x,x,x,0,0,0,0,15
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.2.5 SEN support service,692619,558147,172184,242534,0,28697,1694181,0,1694181,39,16
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.2.6 Hospital education services,x,x,x,0,11625,x,11625,0,11625,0,17
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.2.7 Other alternative provision services,0,126425,353487,0,0,398735,878648,0,878648,20,18
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.2.8 Support for inclusion,5000,519989,245928,31167,0,0,802084,19850,782234,18,19
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.2.11 Direct payments (SEN and disability),0,85195,37915,0,0,0,123111,0,123111,3,22
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.2.13 Therapies and other health related services,29557,53572,53572,221676,0,11084,369459,0,369459,9,24
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Schools,1.4.11 SEN transport,0,0,0,0,0,0,0,0,0,0,36
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,958525,126734,831791,37,67
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,2891404,96304,2795100,123,68
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,222457,0,222457,10,69
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,12670,0,3745205,125491,x,3883366,0,3883366,171,70
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,52072,780920,0,226337,1059328,0,1059328,47,72
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Camden,202,E09000007,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,0,0,17580,17580,0,17580,1,73
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.0.2 High needs place funding within Individual Schools Budget,0,324000,426000,1138773,1220000,x,3108773,,3108773,121,2
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.2.1 Top-up funding – maintained schools,50628,3362994,2590626,2465836,1275368,x,9745452,0,9745452,136,12
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",20136,2054009,3317729,14261006,58599,1894089,21605567,0,21605567,301,13
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,0,0,0,14727221,0,0,14727221,0,14727221,205,14
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,570283,403108,x,x,x,973391,0,973391,14,15
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.2.5 SEN support service,43725,1530382,1180580,1093130,524702,0,4372520,30420,4342100,60,16
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.2.6 Hospital education services,x,x,x,0,619109,x,619109,0,619109,9,17
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.2.7 Other alternative provision services,0,0,16205,332201,3821547,40512,4210465,0,4210465,59,18
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.2.8 Support for inclusion,826347,810814,529139,1582238,2340296,0,6088834,6881,6081952,85,19
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.2.11 Direct payments (SEN and disability),0,0,0,0,0,0,0,0,0,0,22
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.2.13 Therapies and other health related services,30742,1075966,830031,768547,368903,0,3074190,2001009,1073181,15,24
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Schools,1.4.11 SEN transport,3442,120453,92921,86038,41298,0,344150,0,344150,7,36
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,1138230,0,1138230,24,67
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,3598562,0,3598562,77,68
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,368767,0,368767,8,69
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,5874348,1623175,77294,154588,x,7729405,59321,7670084,164,70
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,0,0,0,1066125,1066125,0,1066125,23,72
202324,Financial year,Local authority,England,E92000001,Outer London,E13000002,Greenwich,203,E09000011,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,0,0,88844,88844,0,88844,2,73
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.0.2 High needs place funding within Individual Schools Budget,0,681585,186000,5010000,1200000,x,7077585,,7077585,321,2
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.2.1 Top-up funding – maintained schools,0,7508058,2453936,12805357,834923,x,23602274,0,23602274,387,12
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",0,966918,4755707,608636,8821,4734268,11074350,0,11074350,181,13
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,440895,399969,1354895,16477954,0,0,18673713,0,18673713,306,14
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,0,0,x,x,x,0,0,0,0,15
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.2.5 SEN support service,231511,2264586,1783152,257441,0,0,4536690,0,4536690,74,16
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.2.6 Hospital education services,x,x,x,0,0,x,0,0,0,0,17
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.2.7 Other alternative provision services,0,0,0,0,844248,0,844248,0,844248,14,18
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.2.8 Support for inclusion,395830,461007,131716,65858,0,0,1054411,0,1054411,17,19
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.2.11 Direct payments (SEN and disability),0,49401,148203,0,0,0,197604,0,197604,3,22
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.2.13 Therapies and other health related services,0,463245,132356,66178,0,0,661779,0,661779,11,24
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Schools,1.4.11 SEN transport,0,0,0,0,0,0,0,0,0,0,36
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,1845939,617716,1228223,33,67
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,917493,0,917493,25,68
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,193404,0,193404,5,69
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,0,0,5169810,28882,x,5198692,59626,5139066,138,70
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,0,0,0,1256351,1256351,0,1256351,34,72
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hackney,204,E09000012,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,0,0,0,0,0,0,0,73
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.0.2 High needs place funding within Individual Schools Budget,0,120000,300000,3061462,0,x,3481462,,3481462,442,2
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.2.1 Top-up funding – maintained schools,381358,3039735,485552,4408209,0,x,8314854,0,8314854,238,12
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",0,1634583,1869916,4582518,232931,1960734,10280682,0,10280682,294,13
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,291372,231225,625961,5176500,0,676357,7001415,0,7001415,200,14
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,0,0,x,x,x,0,0,0,0,15
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.2.5 SEN support service,56824,422523,42618,923387,0,28412,1473764,0,1473764,42,16
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.2.6 Hospital education services,x,x,x,16138,0,x,16138,0,16138,0,17
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.2.7 Other alternative provision services,0,268236,237102,1726,1104884,60571,1672519,82608,1589911,45,18
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.2.8 Support for inclusion,11916,152255,39845,75334,310000,2318,591668,0,591668,17,19
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.2.11 Direct payments (SEN and disability),8233,44405,23025,88809,0,0,164472,0,164472,5,22
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.2.13 Therapies and other health related services,15797,244226,40368,209868,0,47556,557815,0,557815,16,24
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Schools,1.4.11 SEN transport,0,0,0,0,0,0,0,0,0,0,36
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,814469,17884,796585,38,67
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,2428808,0,2428808,116,68
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,22000,0,22000,1,69
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,39200,695531,511811,3178377,86967,x,4511886,0,4511886,215,70
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,0,632816,0,312317,945133,0,945133,45,72
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Hammersmith and Fulham,205,E09000013,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,250357,0,499555,749912,0,749912,36,73
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.0.2 High needs place funding within Individual Schools Budget,0,384000,0,2480000,1020000,x,3884000,,3884000,235,2
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.2.1 Top-up funding – maintained schools,211585,4679437,951964,3848812,3531839,x,13223637,0,13223637,318,12
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",0,0,0,8431610,0,1383685,9815295,0,9815295,236,13
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,0,0,0,5979805,2282526,0,8262331,0,8262331,199,14
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,0,0,x,x,x,0,0,0,0,15
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.2.5 SEN support service,648060,1897908,390959,266193,73340,0,3276460,0,3276460,79,16
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.2.6 Hospital education services,x,x,x,0,0,x,0,0,0,0,17
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.2.7 Other alternative provision services,0,0,0,0,131308,0,131308,0,131308,3,18
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.2.8 Support for inclusion,588523,1108145,0,286248,145156,0,2128071,0,2128071,51,19
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,128892,103329,0,232221,0,232221,6,21
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.2.11 Direct payments (SEN and disability),0,0,0,0,414600,0,414600,0,414600,10,22
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.2.13 Therapies and other health related services,0,0,0,0,0,0,0,0,0,0,24
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Schools,1.4.11 SEN transport,0,0,0,0,0,0,0,0,0,0,36
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,567536,152766,414770,17,67
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,925673,0,925673,38,68
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,42226,0,42226,2,69
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,0,0,3729743,196302,x,3926046,0,3926046,161,70
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,0,914408,0,0,914408,0,914408,38,72
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Islington,206,E09000019,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,0,0,0,512218,512218,0,512218,21,73
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.0.2 High needs place funding within Individual Schools Budget,150000,270000,67000,0,0,x,487000,,487000,63,2
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.2.1 Top-up funding – maintained schools,297187,1743499,1327437,2070406,0,x,5438530,0,5438530,212,12
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",9818,971365,739562,1143677,44153,761638,3670214,0,3670214,143,13
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,4003,1860645,1416627,2205512,0,1458915,6945703,0,6945703,270,14
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0,225000,153000,x,x,x,378000,0,378000,15,15
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.2.5 SEN support service,24755,145229,110572,172459,0,113873,566888,0,566888,22,16
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.2.6 Hospital education services,x,x,x,2070372,0,x,2070372,0,2070372,81,17
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.2.7 Other alternative provision services,0,0,0,0,791417,0,791417,0,791417,31,18
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.2.8 Support for inclusion,10214,59923,45623,0,0,46985,162745,0,162745,6,19
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,0,0,x,0,0,0,0,20
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,0,0,0,0,0,0,0,21
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.2.11 Direct payments (SEN and disability),0,0,0,0,0,0,0,0,0,0,22
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.2.13 Therapies and other health related services,65657,536199,293268,457411,17509,151011,1521055,0,1521055,59,24
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Schools,1.4.11 SEN transport,0,0,0,0,0,0,0,0,0,0,36
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,1148861,244623,904239,63,67
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,1806717,0,1806717,125,68
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,25472,0,25472,2,69
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,0,149559,116481,1127449,73070,x,1466559,0,1466559,101,70
202324,Financial year,Local authority,England,E92000001,Inner London,E13000001,Kensington and Chelsea,207,E09000020,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,85021,468528,21915,286144,861608,0,861608,60,72
