EstablishmentName,SEN_Provision_List,HasSENProvision
Bas10 the All About Family Hub Delivery Site,Not applicable,False
Bas11 Sunnyside Family Hub Delivery Site,Not applicable,False
Bas12 Highcliffe Family Hub Delivery Site,Not applicable,False
Bas7/A Fryerns Farm Family Hub Delivery Site,Not applicable,False
Bas7 Northlands Park Family Hub,Not applicable,False
Basford Children's Centre,Not applicable,False
BASSETLAW RURAL Children's Centre,Not applicable,False
Bassett and Lordswood Sure Start Childrens Centre,Not applicable,False
Batley Central Sure Start Children's Centre,Not applicable,False
Batley East Children's Centre,Not applicable,False
Bayonne Children's Centre,Not applicable,False
Bayswater Children's Centre,Not applicable,False
Beaches Children's Centre,Not applicable,False
Beacon Children's Centre,Not applicable,False
Beacon Children's Centre P3-1,Not applicable,False
Unity College Blackpool Children's Centre,Not applicable,False
Beaconsfield Family Centre,Not applicable,False
Beaminster and Lyme Regis Sure Start Children's Centre,Not applicable,False
Bearwood Sure Start Children's Centre,Not applicable,False
Beaumont Leys & Stocking Farm Sure Start Children's Centre,Not applicable,False
Beavers Children's Centre,Not applicable,False
Bebington Children's Centre,Not applicable,False
Becket Children's Centre,Not applicable,False
Becontree Children's Centre,Not applicable,False
Bedale Children's Centre,Not applicable,False
Beddington Park Primary Children's Centre,Not applicable,False
Bede Children's Centre,Not applicable,False
Bedfont Children's Centre,Not applicable,False
Bedford and Higher Folds Children's Centre,Not applicable,False
Bedford Central CC (Bedford Borough),Not applicable,False
Bedlington Children's Centre,Not applicable,False
St Michaels Children's Centre (formerly known as Bedworth Early Years Centre),Not applicable,False
Beech Hill & Sacred Heart Children's Centre,Not applicable,False
Flying Start Central Children's Centre,Not applicable,False
Flying Start West @ Beechwood,Not applicable,False
Sure Start Children's Centre Beeford,Not applicable,False
Dunstable North Children's Centre,Not applicable,False
BEESTON Children's Centre,Not applicable,False
BEESTON NORTH WITH LENTON ABBEY Children's Centre,Not applicable,False
Beever Children's Centre,Not applicable,False
Bunnies Children's Centre,Not applicable,False
Beighton Children's Centre,Not applicable,False
Belfield Children's Centre,Not applicable,False
Belgrave and Rushey Mead Sure Start Children's Centre,Not applicable,False
Bell Green Children's Centre,Not applicable,False
Bell Lane Primary School and Children's Centre,Not applicable,False
BELLAMY Children's Centre,Not applicable,False
Belle Vale & Hunts Cross Children's Centre,Not applicable,False
Bellefield Children's Centre,Not applicable,False
Bellingham Children's Centre,Not applicable,False
Belmore Children's Centre,Not applicable,False
Grantham Belton Lane Children's Centre,Not applicable,False
Central Children's Centre,Not applicable,False
Bemerton Children's Centre,Not applicable,False
Benchill Sure Start Childrens Centre,Not applicable,False
Bensham Sure Start Children's Centre,Not applicable,False
Bentley Children's Centre,Not applicable,False
Keystone Children's Centre (Bentley Heath),Not applicable,False
Berryfields Community & Children's Centre,Not applicable,False
Bertram Children's Centre,Not applicable,False
Berwick Children's Centre,Not applicable,False
Berwick Hill Children's Centre,Not applicable,False
Bessemer Grange Primary School & Children's Centre,Not applicable,False
Whitefield Children's Centre Hub,Not applicable,False
Bestwood Park & Top Valley Children's Centre,Not applicable,False
Betchworth & Buckland Sure Start Children's Centre,Not applicable,False
Sure Start Children's Centre Beverley Rural,Not applicable,False
Crawley Bewbush Family Hub,Not applicable,False
Bewcastle Sure Start Children's Centre,Not applicable,False
Biddick Hall and Whietleas,Not applicable,False
Bideford Bay Children's Centre,Not applicable,False
Bidston and St James Children's Centre,Not applicable,False
Bierley Children's Centre,Not applicable,False
Biggin Hill Children and Family Centre,Not applicable,False
Bilborough Children's Centre,Not applicable,False
Billinghay Children's Centre,Not applicable,False
Bilston Nursery School EEC,Not applicable,False
Binbrook Children's Centre,Not applicable,False
BINGHAM Children's Centre,Not applicable,False
South Somerset East,Not applicable,False
Birchills & North Walsall Sure Start Children's Centre,Not applicable,False
Birchington Children's Centre,Not applicable,False
Birdholme Children's Centre,Not applicable,False
Annie Smith Sure Start Birkby Children's Centre,Not applicable,False
Birkenhead and Tranmere Children's Centre,Not applicable,False
Shortbrook Family Hub,Not applicable,False
Birstall & Birkenshaw Children's Centre,Not applicable,False
Birtley Children's Centre @ Barley Mow,Not applicable,False
Galmington Building,Not applicable,False
Bishops Lydeard,Not applicable,False
Shropshire Sw Early Help Family Hub,Not applicable,False
Bishop's Cleeve Library Children's Centre,Not applicable,False
Badgers and Home Tree Children's Centre,Not applicable,False
Bishops House Children's Centre,Not applicable,False
Fulham Palace Children's Centre,Not applicable,False
Little Petals Children's Centre,Not applicable,False
Bishopsworth Children's Centre,Not applicable,False
Bitterne Sure Start Children Centre,Not applicable,False
Blackshots Childrens Centre P3-4,Not applicable,False
Blackthorn Good Neighbours,Not applicable,False
Isle of Dogs Children's Centre,Not applicable,False
Blacon Children's Centre,Not applicable,False
Blakenall Sure Start Children's Centre,Not applicable,False
Blandford,Not applicable,False
Blaydon Winlaton Children's Centre,Not applicable,False
Blenheim Children and Family Centre,Not applicable,False
Blenheim Children's Centre,Not applicable,False
Bligh Children's Centre,Not applicable,False
Bloomsbury Children's Centre,Not applicable,False
Blossom Children's Centre,Not applicable,False
Blossom Vale Children's Centre,Not applicable,False
Spring Vale Children's Centre,Not applicable,False
Blossomfields Children's Centre,Not applicable,False
Bloxwich Sure Start Children's Centre,Not applicable,False
Bluebell Wood Children's Centre,Not applicable,False
Bluebells Children's Centre,Not applicable,False
Bluebells Family Hub,Not applicable,False
Bluecoat Children's Centre,Not applicable,False
Blyth Central Children's Centre,Not applicable,False
Blyth West Children's Centre,Not applicable,False
Boarshaw Centre,Not applicable,False
The Chestnuts Centre,Not applicable,False
Boldon Nursery Children's Centre,Not applicable,False
Bolsover Children's Centre,Not applicable,False
Boothstown/Ellenbrook Children's Centre,Not applicable,False
Boothtown Childrens Centre,Not applicable,False
Bordesley Green East Children's Centre,Not applicable,False
Boscombe Children's Centre,Not applicable,False
Boston Carlton Road,Not applicable,False
"Boston, Carlton Road and Old Leake Children's Centre",Not applicable,False
Boston Spa Children's Centre,Not applicable,False
Hop-a-Long Children's Centre,Not applicable,False
Bottisham Child and Family Delivery Site,Not applicable,False
Boughton Leigh Children's Centre,Not applicable,False
Boulton Children's Centre,Not applicable,False
Bourne,Not applicable,False
Bowes Children's Centre,Not applicable,False
Boxgrove Sure Start Children's Centre,Not applicable,False
Bra2 Harlequin Family Hub Delivery Site,Not applicable,False
Bra3 Acorn Family Hub Delivery Site,Not applicable,False
Bra6 Carousel Family Hub,Not applicable,False
Bra2/C Silver End Family Hub Delivery Site,Not applicable,False
Brackley Children's Centre,Not applicable,False
Bradford on Avon Community Children's Centre,Not applicable,False
Bradley Stoke Children's Centre,Not applicable,False
Bram Longstaffe SureStart Children's Centre,Not applicable,False
Brambles Children's Centre,Not applicable,False
Bramley Children's Centre,Not applicable,False
Branches Children's Centre,Not applicable,False
Brandon Children's Centre,Not applicable,False
Brandon Family Hub,Not applicable,False
Branksome Children's Centre,Not applicable,False
Braunstone Frith Sure Start Children's Centre,Not applicable,False
Braunstone Sure Start Children's Centre,Not applicable,False
Braunstone Town Sure Start Children's Centre,Not applicable,False
Braunton Children's Centre,Not applicable,False
Bre1 Larchwood Gardens Family Hub,Not applicable,False
Brearley Children's Centre,Not applicable,False
Brent Children's Centre,Not applicable,False
Brentford Children's Centre,Not applicable,False
Brentry & Henbury Children's Centre,Not applicable,False
Bretton Children's Centre,Not applicable,False
Briary Children's Centre,Not applicable,False
Bricknell Children's Centre,Not applicable,False
BRIDGE Children's Centre,Not applicable,False
Shropshire Se Early Help Family Hub,Not applicable,False
Sure Start Children's Centre Bridlington Two,Not applicable,False
Bridport,Not applicable,False
Brierley Hill Children's Centre,Not applicable,False
Brigg Children's Centre,Not applicable,False
Bright Futures Sure Start Children's Centre,Not applicable,False
Bright Meadows Family Hub,Not applicable,False
Farcet Child and Family Delivery Site,Not applicable,False
Brightside Family Hub Network Site,Not applicable,False
Brinnington Children's Centre,Not applicable,False
BRINSLEY Children's Centre,Not applicable,False
The Orchard Sure Start Children's Centre,Not applicable,False
Brixham Children's Centre,Not applicable,False
Liz Atkinson Children's Centre,Not applicable,False
Brixworth Library and Children's Centre,Not applicable,False
Broad Green Sure Start,Not applicable,False
Crawley Broadfield Family Hub,Not applicable,False
Altrincham Children's Centre,Not applicable,False
Broadlands Children Centre,Not applicable,False
Broadmayne,Not applicable,False
The Ark Children's Centre,Not applicable,False
Broadwaters Children's Centre,Not applicable,False
Broadway Outreach,Not applicable,False
Taunton West,Not applicable,False
Brockworth Children's Centre,Not applicable,False
Broken Cross Children's Centre,Not applicable,False
Bromborough Children's Centre,Not applicable,False
Bluebells CC (Bedford Borough),Not applicable,False
Marner,Not applicable,False
Bromley Cross Family Hub Link Site,Not applicable,False
Bromley Pensnett Children's Centre,Not applicable,False
Brompton Children's Centre,Not applicable,False
Sovereign and Strawberry Meadow Children's Centre,Not applicable,False
Brookhill Children's Centre,Not applicable,False
"Brooklands Sure Start Children's Centre, Sandilands",Not applicable,False
Brookside Children's Centre,Not applicable,False
Brookvale Children's Centre,Not applicable,False
Brookwood & Pirbright Sure Start Children's Centre,Not applicable,False
Poppies Children's Centre,Not applicable,False
Broomhall Nursery School and Children's Centre,Not applicable,False
Broomhill & St Anne's Park Children's Centre,Not applicable,False
Broomwood & Timperley Children's Centre,Not applicable,False
Broseley Children's Centre delivery point,Not applicable,False
Brotherton Children's Centre,Not applicable,False
Sure Start Children's Centre Brough,Not applicable,False
Broughton Astley Sure Start Children's Centre,Not applicable,False
Hummingbird Children Centre,Not applicable,False
Brownhills Sure Start Children's Centre,Not applicable,False
Bryn Sure Start Children's Centre,Not applicable,False
Buckingham Family Centre,Not applicable,False
Buckland & Whitfield Children's Centre,Not applicable,False
Buckland Sure Start Children's Centre,Not applicable,False
Buckland Sure Start Children's Centre,Not applicable,False
Bude Children's Centre,Not applicable,False
Bude Children's centre,Not applicable,False
Bulford Children's Centre,Not applicable,False
Bullion Lane Children's Centre,Not applicable,False
Bulwell Children's Centre,Not applicable,False
Bulwell Forest Children's Centre,Not applicable,False
Mile End Children's Centre,Not applicable,False
Burham Children's Centre,Not applicable,False
Burhill Sure Start Children's Centre,Not applicable,False
Burley Park Children's Centre,Not applicable,False
Burnage Sure Start Children's Centre,Not applicable,False
Southern Links Children's Centre,Not applicable,False
Burnett Fields Children's Centre,Not applicable,False
Burngreave Family Hub Network Site,Not applicable,False
Burnham Family Centre,Not applicable,False
Burnley Wood Children's Centre,Not applicable,False
Burnt Ash Children and Family Centre,Not applicable,False
Burnt Oak Primary School & Children's Centre,Not applicable,False
Burnt Tree Sure Start Children's Centre,Not applicable,False
Burslem Children's Centre,Not applicable,False
Bury Library Family Hub,Not applicable,False
Bush Hill Park Children's Centre,Not applicable,False
Bushbury Triangle Children's Centre,Not applicable,False
Bushy Leaze Children's Centre,Not applicable,False
BUTLER'S HILL & BROOMHILL Children's Centre,Not applicable,False
Buttercup Children's Centre,Not applicable,False
Buttercups and Bunnies Children's Centre,Not applicable,False
Butterflies Family Hub,Not applicable,False
Butterflies Children's Centre,Not applicable,False
Bishop David Sheppard Children's Centre,Not applicable,False
Butterflies Children's Centre,Not applicable,False
Butterfly Children's Centre,Not applicable,False
Eynesbury Child and Family Centre,Not applicable,False
Prestwich Children's Centre Spoke,Not applicable,False
Byron Children's Centre,Not applicable,False
Bysing Wood Children's Centre,Not applicable,False
Cadbury Heath Children's Centre,Not applicable,False
Cadishead Children's Centre,Not applicable,False
Cadland and Forest First Children's Centre,Not applicable,False
Caistor Childrens Centre,Not applicable,False
East Family Hub - Calcot,Not applicable,False
Callands Children's Centre,Not applicable,False
Callis Grange Children's Centre,Not applicable,False
Calne Community Children's Centre,Not applicable,False
CALVERTON Children's Centre,Not applicable,False
Cambourne Child and Family Centre,Not applicable,False
Cambridge Children's Centre,Not applicable,False
Cambridge Road Children's Centre,Not applicable,False
Camp Hill Children's Centre,Not applicable,False
Kings Heath Surestart Children's Centre,Not applicable,False
Canford Heath Children's Centre,Not applicable,False
Cannock Chase Children's Centre,Not applicable,False
Canterbury Children's Centre,Not applicable,False
Cap3 Little Lions Family Hub,Not applicable,False
Cap5 Little Handprints Family Hub Delivery Site,Not applicable,False
Cardwell Children's Centre,Not applicable,False
Carholme Children's Centre,Not applicable,False
Carlinghow & Wilton Children's Centre,Not applicable,False
Carlisle North SureStart Children's Centre,Not applicable,False
Carlisle West - Newtown SureStart Children's Centre,Not applicable,False
CARLTON Children's Centre,Not applicable,False
Carnagill Children's Centre,Not applicable,False
Carousel Family Hub,Not applicable,False
Carr Children's Centre,Not applicable,False
Manor Wood Children's Centre,Not applicable,False
Carterhatch Autumn Close Children's Centre,Not applicable,False
Cartwheels Family Hub,Not applicable,False
City of London Child and Family Centre At the Aldgate School,Not applicable,False
Barnes Children's Centre,Not applicable,False
Castle Cary Building,Not applicable,False
Castle Hill Early Years Centre,Not applicable,False
Castle Vale Children's Centre,Not applicable,False
Castleton Children's Centre,Not applicable,False
Castleton Centre,Not applicable,False
Caterpillars Children's Centre,Not applicable,False
Cathnor Park Children's Centre,Not applicable,False
Tulip Tree Children's Centre,Not applicable,False
"Catton Grove, Fiddlewood and Mile Cross (CFM) Children's Centre",Not applicable,False
Peter Pan CC (Bedford Borough),Not applicable,False
Caversham Children's Centre,Not applicable,False
Caythorpe,Not applicable,False
Cedars Children's Centre,Not applicable,False
Central Children's Centre,Not applicable,False
Central Outreach,Not applicable,False
Central Ryedale Children's Centre,Not applicable,False
Shrewsbury (S) Early Help Family Hub,Not applicable,False
Wilfred Owen School CC delivery point,Not applicable,False
Meole Children's Centre delivery point,Not applicable,False
South Oswestry Children's Centre,Not applicable,False
Green Wood Children's Centre,Not applicable,False
Frizinghall and Heaton Village Children's Centre,Not applicable,False
Centre Place Family Centre,Not applicable,False
Meadow Lane Children's Centre,Not applicable,False
Chadwell Children's Centre P2-1,Not applicable,False
Chamberlayne Children's Centre,Not applicable,False
Chancet Wood Children's Centre,Not applicable,False
Caterpillar Hill Children's Centre,Not applicable,False
Chandos Children's Centre,Not applicable,False
Meanwood and Chapel Allerton Children's Centre,Not applicable,False
Chapel End Early Years Centre,Not applicable,False
Chapel St,Not applicable,False
Chapeltown,Not applicable,False
Chapeltown Children's Centre,Not applicable,False
South Somerset West,Not applicable,False
Charlestown and Lower Kersal and Summerville Children's Centre,Not applicable,False
Charlestown Sure Start Children's Centre,Not applicable,False
Charlton Kings Children's Centre,Not applicable,False
Charnock Children's Centre,Not applicable,False
Charnwood Children's Centre,Not applicable,False
Canley Childrens' Centre,Not applicable,False
Apple Tree Children's Centre,Not applicable,False
Charville Children's Centre,Not applicable,False
Chase Children's Centre,Not applicable,False
Chatham Children's Centre,Not applicable,False
Chatteris Child and Family Centre,Not applicable,False
Flying Start West @ Chaul End,Not applicable,False
Che1 Chelmsford West Family Hub Delivery Site,Not applicable,False
Che10 Chetwood Family Hub Delivery Site,Not applicable,False
Che1/A Chelmsford Central Family Hub,Not applicable,False
Chellaston,Not applicable,False
Chelmsley Wood Children's Centre,Not applicable,False
Chelsea Open Air Nursery School & Children's Centre,Not applicable,False
Cherry Hinton Child and Family Site,Not applicable,False
Cherry Lane Children's Centre,Not applicable,False
Cherry Tree Children's Centre,Not applicable,False
Cherry Tree SSCC,Not applicable,False
Cherry Trees Children's Centre,Not applicable,False
Cherry Willingham,Not applicable,False
Chertsey Sure Start Children's Centre,Not applicable,False
Newtown Family Centre Plus (Chesham),Not applicable,False
Chessington Children's Centre,Not applicable,False
Chester Victoria Children's Centre,Not applicable,False
Chesterton Centre for Children & Families,Not applicable,False
Chesterton Child and Family Centre,Not applicable,False
Chestnut Avenue Children's Centre,Not applicable,False
Chestnut Children's Centre,Not applicable,False
Chestnuts Children's Centre,Not applicable,False
Chew Valley Children's Centre,Not applicable,False
Cheyne Children's Centre,Not applicable,False
Chichester Family Hub,Not applicable,False
Chickenley Earlsheaton & Shawcross Children's Centre,Not applicable,False
Cedars Children's Centre,Not applicable,False
Grange,Not applicable,False
Flying Start South @ the Mall,Not applicable,False
Children's Centre at Whitefriars,Not applicable,False
Children's Centre services at Eltham Centre,Not applicable,False
Children's centre Services at Plumstead Common,Not applicable,False
Formerly Childwall and Woolton Children Centre,Not applicable,False
CHILWELL Children's Centre,Not applicable,False
Chilworth Sure Start Children's Centre,Not applicable,False
Lily Pads and The Courtyard Children's Centre,Not applicable,False
Chingford Children's Centre,Not applicable,False
Chinnbrook Family & Community Project,Not applicable,False
Chippenham Road Children's Centre,Not applicable,False
Chiswick Children's Centre,Not applicable,False
Chobham & West End Sure Start Children's Centre,Not applicable,False
Chopwell and Highfield Children's Centre,Not applicable,False
Chorlton Park Sure Start Children's Centre,Not applicable,False
Chowdene Children's Centre,Not applicable,False
Chrisp Street Sure Start Children's Centre,Not applicable,False
Christchurch West,Not applicable,False
Christopher Robin Sure Start Children's Centre,Not applicable,False
Chuckery & Paddock Sure Start Children's Centre,Not applicable,False
Formerly Church & Mossley Hill Children Centre,Not applicable,False
Walthamstow East Children Centre,Not applicable,False
Church Lane Children's Centre,Not applicable,False
Church Road Children's Centre,Not applicable,False
North East Locality Hub Lead - Portman Early Childhood Centre,Not applicable,False
South Locality Hub Lead - Churchill Gardens Children's Centre,Not applicable,False
City and Eaton Children's Centre,Not applicable,False
City and Holbeck Children's Centre,Not applicable,False
City View Children's Centre,Not applicable,False
Clapham CC (Bedford Borough),Not applicable,False
Clapham Manor Primary School and Children's Centre,Not applicable,False
Millfields Children's Centre,Not applicable,False
Clare Gardens Children's Centre,Not applicable,False
Westminster Children's Centre,Not applicable,False
Claremont Children's Centre (formerly Rugby Parents Centre),Not applicable,False
Claremont Sure Start Children's Centre,Not applicable,False
Clarendon School & Sure Start Children's Centre,Not applicable,False
Claygate & Oxshott Sure Start Children's Centre,Not applicable,False
Clayton Brook Children's Centre,Not applicable,False
Clayton Sure Start Children's Centre,Not applicable,False
Clearbury Children's Centre,Not applicable,False
Cleckheaton Childrens Centre,Not applicable,False
Cleethorpes Children's Centre (Reynolds),Not applicable,False
Clevedon Children's Centre,Not applicable,False
Cleveleys Children's Centre,Not applicable,False
Clifton Children's Centre,Not applicable,False
Clifton Children's Centre,Not applicable,False
Clifton Children's Centre,Not applicable,False
Cliftonville Children's Centre,Not applicable,False
Jump Family Centre,Not applicable,False
Clubmoor & Ellergreen Children's Centre,Not applicable,False
Clyde Early Childhood Centre,Not applicable,False
Clyst Vale Children's Centre,Not applicable,False
Coalville Sure Start Children's Centre,Not applicable,False
Cobden Sure Start Children's Centre,Not applicable,False
Cobham Sure Start Children's Centre,Not applicable,False
Cockington Children's Centre,Not applicable,False
Coin Street Family & Children's Centre,Not applicable,False
Col1 Greenstead Family Hub Delivery Site,Not applicable,False
Col11 Little Hands Family Hub Delivery Site,Not applicable,False
Col1/A St Anne's and Castle Family Hub Delivery Site,Not applicable,False
Col4 Berechurch Family Hub,Not applicable,False
Colburn Children's Centre,Not applicable,False
Coldhurst Children's Centre,Not applicable,False
Coleridge Children's Centre,Not applicable,False
Coley Park,Not applicable,False
Colham Manor Children's Centre,Not applicable,False
Collier Row Children's Centre,Not applicable,False
Collingwood Children's Centre,Not applicable,False
Collyhurst Sure Start Children's Centre,Not applicable,False
Colne Children's Centre,Not applicable,False
Colne Valley Children's Centre,Not applicable,False
Comberton Children's Centre,Not applicable,False
Comet Nursery School and Children's Centre,Not applicable,False
Community Vision Children and Family Centre,Not applicable,False
Communityworks Children's Centre,Not applicable,False
Compass Point: South Street School & Children's Centre,Not applicable,False
Conewood Street Children's Centre,Not applicable,False
Congleton Children's Centre,Not applicable,False
"Coningsby Children's Centre, Leominster",Not applicable,False
Conniburrow Children's Centre,Not applicable,False
Conway Court Children's Centre,Not applicable,False
Copley Close Children's Centre,Not applicable,False
Copperhouse Children's Centre,Not applicable,False
Coppetts Wood Primary School and Children's Centre,Not applicable,False
Coppull Children's Centre,Not applicable,False
Corfe Mullen Children's Centre and Library,Not applicable,False
Yiewsley Cornerstone Children's Centre,Not applicable,False
Bingley Rural Children's Centre,Not applicable,False
Radcliffe Children's Centre Hub,Not applicable,False
Corsham Children's Centre,Not applicable,False
Cortonwood Family Hub,Not applicable,False
Coseley Children's Centre,Not applicable,False
Coteford Children's Centre,Not applicable,False
COTGRAVE Children's Centre,Not applicable,False
Cotmandene Children and Family Centre,Not applicable,False
Cotmanhay Children's Centre,Not applicable,False
Sure Start Children's Centre Cottingham,Not applicable,False
Cottingley and Two Willows Children's Centre,Not applicable,False
Countess Wear Exeter,Not applicable,False
Countesthorpe Sure Start Children's Centre,Not applicable,False
County & Walton Children's Centre,Not applicable,False
Cowes Children's Centre,Not applicable,False
Cowley Children's Centre,Not applicable,False
"Lordshill, Shirley Warren and Coxford Children's Centre.",Not applicable,False
Cramlington Children's Centre,Not applicable,False
Cranbrook Children's Centre,Not applicable,False
